الجذر,الحرف الأول للجذر,الحرف الثاني للجذر,الحرف الثالث للجذر,الحرف الرابع للجذر,تفعلل,افعنلل,افعللّ
جلحب,ج,ل,ح,ب,,,ل
جلحم,ج,ل,ح,م,,,ل
جلخب,ج,ل,خ,ب,,,ل
جلخد,ج,ل,خ,د,,,ل
جلخي,ج,ل,خ,ي,,ل,
جلطأ,ج,ل,ط,أ,,ل,
جلطي,ج,ل,ط,ي,,ل,
جلظأ,ج,ل,ظ,أ,,ل,
جلظي,ج,ل,ظ,ي,,ل,
جلعب,ج,ل,ع,ب,,,ل
جلعد,ج,ل,ع,د,,,ل
جلفع,ج,ل,ف,ع,,ل,
جلمد,ج,ل,م,د,ل,,
جمجم,ج,م,ج,م,ل,,
جمهر,ج,م,ه,ر,ل,,
جهجه,ج,ه,ج,ه,ل,,
جهضم,ج,ه,ض,م,ل,,
جورب,ج,و,ر,ب,ل,,
حبأن,ح,ب,أ,ن,,,ل
حبجر,ح,ب,ج,ر,ل,ل,ل
حبطأ,ح,ب,ط,أ,,ل,
حبطي,ح,ب,ط,ي,,ل,
حبكر,ح,ب,ك,ر,ل,,
حتأم,ح,ت,أ,م,,,م
حتحت,ح,ت,ح,ت,ل,,
حترش,ح,ت,ر,ش,ل,,
حثرف,ح,ث,ر,ف,ل,,
حجحج,ح,ج,ح,ج,ل,,
حذأر,ح,ذ,أ,ر,,,ل
حذلق,ح,ذ,ل,ق,ل,,
حذلم,ح,ذ,ل,م,ل,,
حربأ,ح,ر,ب,أ,,ل,
حربي,ح,ر,ب,ي,,ل,
حرجم,ح,ر,ج,م,,ل,
حرشف,ح,ر,ش,ف,ل,,
حرشم,ح,ر,ش,م,,ل,
حرفز,ح,ر,ف,ز,,ل,
حرفش,ح,ر,ف,ش,,ل,
حرفص,ح,ر,ف,ص,ل,,
حرمز,ح,ر,م,ز,ل,,ل
حزحز,ح,ز,ح,ز,ل,,
حسحس,ح,س,ح,س,ل,,
حشأن,ح,ش,أ,ن,,,ل
حشحش,ح,ش,ح,ش,ل,,
حشرج,ح,ش,ر,ج,ل,,
حصحص,ح,ص,ح,ص,ل,,
حصرم,ح,ص,ر,م,ل,,
حظرب,ح,ظ,ر,ب,ل,,
حلحل,ح,ل,ح,ل,ل,,
حلقف,ح,ل,ق,ف,,ل,
حلقم,ح,ل,ق,م,,ل,
حمحم,ح,م,ح,م,ل,,
حمير,ح,م,ي,ر,ل,,
حنبل,ح,ن,ب,ل,ل,,
حنجل,ح,ن,ج,ل,ل,,
حندس,ح,ن,د,س,ل,,
حنطر,ح,ن,ط,ر,ل,,
حنظي,ح,ن,ظ,ي,ل,,
حوصل,ح,و,ص,ل,,ل,
حوقل,ح,و,ق,ل,ل,,
حيفس,ح,ي,ف,س,ل,,
خبأن,خ,ب,أ,ن,,,ل
خبخب,خ,ب,خ,ب,ل,,
خبدد,خ,ب,د,د,,ل,
خبدي,خ,ب,د,ي,,ل,
خبعث,خ,ب,ع,ث,,,ل
خثعم,خ,ث,ع,م,ل,,
خذرف,خ,ذ,ر,ف,ك,,
خذلج,خ,ذ,ل,ج,ل,,
خربط,خ,ر,ب,ط,ل,,
خربق,خ,ر,ب,ق,,ل,
خرخر,خ,ر,خ,ر,ل,,
خرشم,خ,ر,ش,م,,ل,
خرطم,خ,ر,ط,م,,ل,
خرفج,خ,ر,ف,ج,,ل,
خرفق,خ,ر,ف,ق,,ل,
خرمس,خ,ر,م,س,,ل,ل
خرمص,خ,ر,م,ص,,ل,ل
خرمق,خ,ر,م,ق,,,ل
خرمل,خ,ر,م,ل,ل,,
خزبز,خ,ز,ب,ز,ل,,
خزلج,خ,ز,ل,ج,ل,,
خشخش,خ,ش,خ,ش,ل,,
خضأل,خ,ض,أ,ل,,,ل
خضخض,خ,ض,خ,ض,ل,,
خضرع,خ,ض,ر,ع,ل,,
