الجذر,الحرف الأول للجذر,الحرف الثاني للجذر,الحرف الثالث للجذر,أفعل,فعّل,فاعل,انفعل,افتعل,افعلّ,تفاعل,تفعّل,استفعل,افعوعل,افعوّل,افعالّ
ثمن,ث,م,ن,ك,م,م,,,,,,,,,
ثنن,ث,ن,ن,ل,ل,,,,,,,,,,
ثني,ث,ن,ي,ك,ك,,ل,ل,,ل,ل,ك,ل,,
ثهت,ث,ه,ت,,ل,,,,,,,,,,
ثهو,ث,ه,و,,,م,,,,,,,,,
ثوأ,ث,و,أ,م,,,,,,,,,,,
ثوب,ث,و,ب,ك,ك,,,,,,ل,م,,,
ثور,ث,و,ر,م,م,م,ل,,,ل,ل,م,,,
ثوع,ث,و,ع,ل,,,,,,,,,,,
ثول,ث,و,ل,,,,ل,,ل,,ل,,,,
ثون,ث,و,ن,,,,,,,ل,,,,,
ثوي,ث,و,ي,ك,ك,,,,,,م,,,,
ثيب,ث,ي,ب,,ك,,,,,,ك,,,,
جأث,ج,أ,ث,م,,,ل,,,,,,,,
جأز,ج,أ,ز,ك,,,,,,,,,,,
جأف,ج,أ,ف,,م,,ل,م,,,,,,,
جأل,ج,أ,ل,,,,,,ل,,,,,,
جأي,ج,أ,ي,م,,,,,,,,,,ل,
جبأ,ج,ب,أ,ك,,,,,,,,,,,
جبب,ج,ب,ب,ل,ك,م,ل,ك,,ل,,ل,,,
جبذ,ج,ب,ذ,,,,ل,م,,,,,,,
جبر,ج,ب,ر,م,م,م,ل,ك,,ل,ك,ك,,,
جبس,ج,ب,س,,م,,,,,,ل,,,,
جبع,ج,ب,ع,,ل,,,,,,,,,,
جبل,ج,ب,ل,ك,م,ل,,,,,ك,,,,
جبن,ج,ب,ن,م,ك,,,م,,,ل,,,,
جبه,ج,ب,ه,,م,,,م,,,,,,,
جبي,ج,ب,ي,ك,ل,,,م,,,,,,,
جثث,ج,ث,ث,,,,ل,ك,,,,,,,
جثم,ج,ث,م,,م,,,,,,م,,,,
جثو,ج,ث,و,م,م,م,,,,ل,,,,,
جحح,ج,ح,ح,ل,,,ل,,,,,,,,
جحد,ج,ح,د,ك,,,,,,,,,,,
جحر,ج,ح,ر,ك,,,ل,ك,,,ل,,,,
جحس,ج,ح,س,,,ك,,,,,,,,,
جحش,ج,ح,ش,,,ك,,,,,,,,,
جحظ,ج,ح,ظ,م,ك,,,,,ل,,,,,
جحف,ج,ح,ف,ل,,ك,,م,,ك,,,,,
جحل,ج,ح,ل,,م,,,,,,,,,,
جحم,ج,ح,م,ك,ك,,,,,ل,ل,,,,
جحن,ج,ح,ن,ك,ك,,,,,,,,,,
جحو,ج,ح,و,,,,,م,ل,,,,,,
جخر,ج,خ,ر,ك,ك,,,,,,ل,,,,
جخو,ج,خ,و,,ل,,,,,,ل,,,,
جدب,ج,د,ب,ك,م,ل,,,,,ك,,,,
جدث,ج,د,ث,,,,,ل,,,,,,,
جدح,ج,د,ح,م,م,,,م,,,,,,,
جدد,ج,د,د,ك,م,م,,,,,ل,ك,,,
جدر,ج,د,ر,ك,ك,,,ك,,,,,,,
جدع,ج,د,ع,م,م,ك,,,,ل,,,,,
جدف,ج,د,ف,ل,ل,,,,,,ل,,,,
جدل,ج,د,ل,ل,م,م,ل,ك,,ل,ل,,,,
جدم,ج,د,م,ك,,,ل,,,,,,,,
جدن,ج,د,ن,ل,,,,,,,,,,,
جدو,ج,د,و,ك,م,م,,ك,,,,م,,,
جدي,ج,د,ي,ل,,,,,,,,,,,
جذب,ج,ذ,ب,,,م,ل,م,,ك,ك,,,,
جذذ,ج,ذ,ذ,,ك,,ل,,,,ل,,,,
جذر,ج,ذ,ر,ك,,,ل,,,,,,,,
جذع,ج,ذ,ع,ل,,,,,,ل,,,,,
جذف,ج,ذ,ف,ك,,,ل,,,,ل,,,,
جذل,ج,ذ,ل,م,,,,ل,,ل,,ل,,,
جذم,ج,ذ,م,ك,م,,ل,,,,ل,,,,
جذو,ج,ذ,و,ك,,ل,,,ل,ك,ك,,ل,,
جذي,ج,ذ,ي,م,,,,,,ل,ل,,,,
جرأ,ج,ر,أ,,م,,,ل,,,ل,ل,,,
جرب,ج,ر,ب,ك,م,,,,,,,,,,
جرج,ج,ر,ج,,م,,,,,,,,,,
جرح,ج,ر,ح,,م,,,م,,,,ل,,,
جرخ,ج,ر,خ,,ل,,,,,,,,,,
جرد,ج,ر,د,,ك,,ل,م,,,ل,,,,
جرذ,ج,ر,ذ,م,م,,,,,,,,,,
جرر,ج,ر,ر,ك,ك,م,ل,ك,,,,ك,,,
جرز,ج,ر,ز,ل,,م,,,,ل,,,,,
جرس,ج,ر,س,ك,ك,,ل,ك,,,ل,,,,
جرش,ج,ر,ش,,ك,,,ك,,,,,,ل,
جرض,ج,ر,ض,م,,,,,,,,,,,
جرط,ج,ر,ط,,,,,,,,,,,ل,
جرع,ج,ر,ع,ك,م,,,ك,,,م,,,,
جرف,ج,ر,ف,ل,م,,ل,ك,,,م,,,,
جرل,ج,ر,ل,ل,,,,,,,,,,,
جرم,ج,ر,م,ك,م,,,ك,,,ك,,,,
جرن,ج,ر,ن,م,م,,,ل,,,,,,,
جره,ج,ر,ه,,م,,,,,,ل,,,,
جرو,ج,ر,و,ل,,,,,,,,,,,
جري,ج,ر,ي,ك,م,م,,,,ل,,ك,,,
جزأ,ج,ز,أ,ك,م,,,ل,,,ك,,,,
جزر,ج,ز,ر,ك,,,ل,ك,,ل,ك,,,,
جزز,ج,ز,ز,ك,م,,,م,,,,ل,,,
جزع,ج,ز,ع,م,ك,,ل,م,,,ك,,,,
جزف,ج,ز,ف,,,ل,,م,,,ل,,,,
جزل,ج,ز,ل,ك,,,,,,,,م,,,
جزم,ج,ز,م,,ك,,ل,ك,,,ل,,,,
جزي,ج,ز,ي,ك,,ك,,م,,ك,,,,,
جسد,ج,س,د,م,م,,,,,,ل,,,,
جسر,ج,س,ر,م,م,,,م,,ل,,,,,
جسس,ج,س,س,,,,,م,,,ك,,,,
جسم,ج,س,م,,م,,,,,,ك,,,,
جسو,ج,س,و,,,م,,,,,,,,,
جشأ,ج,ش,أ,,ل,,,م,,,ك,,,,
جشر,ج,ش,ر,,م,,,,,,ل,,,,
جشش,ج,ش,ش,ك,,,,ل,,,,,,,
جشع,ج,ش,ع,,,,,,,م,ل,,,,
جشم,ج,ش,م,م,م,,,,,,م,,,,
جشو,ج,ش,و,,,,,م,,,,,,,
جصص,ج,ص,ص,,ك,,,ل,,ل,,,,,
جضض,ج,ض,ض,,ل,,,,,,,,,,
جضم,ج,ض,م,,,,,,,,م,,,,
جظظ,ج,ظ,ظ,ل,,,,,,,,,,,
جعب,ج,ع,ب,,م,,ل,,,,ل,,,,
جعد,ج,ع,د,,م,,,,,,ل,,,,
جعر,ج,ع,ر,,,,ل,,,,ل,,,,
جعس,ج,ع,س,,,,,,,,ل,,,,
جعظ,ج,ع,ظ,ك,ل,,,,,,,,,,
جعف,ج,ع,ف,م,,,ل,م,,,,,,,
جعل,ج,ع,ل,ك,,م,,ك,,م,,ل,,,
جعم,ج,ع,م,ك,,,,,,,ل,,,,
جعن,ج,ع,ن,ل,,,,,,,,,,,
جعو,ج,ع,و,,,,ل,,,,,,,,
جفأ,ج,ف,أ,ك,,,,م,,,ل,,,,
جفت,ج,ف,ت,,م,,,م,,,,,,,
جفخ,ج,ف,خ,,,م,,,,,,,,,
جفر,ج,ف,ر,ك,ك,,,ل,,,ل,ل,,,
جفظ,ج,ف,ظ,,,,,,,,,,,,ل
جفف,ج,ف,ف,,م,,,م,,,ل,,,,
جفل,ج,ف,ل,ك,م,,ل,,,,ل,,,,
جفن,ج,ف,ن,ل,ل,,,,,,ل,,,,
جفو,ج,ف,و,ك,م,م,,م,,ل,,م,,,
جفي,ج,ف,ي,,,,,م,,,,,,,
جكر,ج,ك,ر,ك,,,,,,,,,,,
جلب,ج,ل,ب,ك,ك,,ل,ك,,,ل,م,,,
جلت,ج,ل,ت,,,,,م,,,,,,,
جلح,ج,ل,ح,,ك,ك,,,,,,,,,
جلخ,ج,ل,خ,,م,,,,ل,,,,,,
جلد,ج,ل,د,ك,م,ك,,ك,,ل,ل,,,,
جلذ,ج,ل,ذ,,,,,,,,,,,ل,
جلز,ج,ل,ز,,ك,,,,,,ل,,,,
جلس,ج,ل,س,م,ك,ك,,,,ل,ل,م,,,
جلط,ج,ل,ط,,,م,ل,م,,,ل,,,,
جلظ,ج,ل,ظ,,,,,,,,,,,ل,
جلع,ج,ل,ع,,,ك,ل,,,ل,,,,,
جلغ,ج,ل,غ,,,ل,,,,,,,,,
جلف,ج,ل,ف,ل,ك,,,م,,,ل,,,,
جلق,ج,ل,ق,,م,,ل,,,,ل,,,,
جلل,ج,ل,ل,ك,ك,,,ك,,ك,ك,,,,
جلم,ج,ل,م,,,,,م,,,,,,,
جلو,ج,ل,و,ك,ك,م,ل,ك,,ل,ك,ك,ل,,
جلي,ج,ل,ي,,ك,,,,,,م,,,,
جمأ,ج,م,أ,,,,,,,,ل,,,,
جمح,ج,م,ح,,,,,,,ل,,,,,
جمخ,ج,م,خ,,,م,ل,,,,,,,,
جمد,ج,م,د,ك,ك,م,,,,,ل,,,,
جمر,ج,م,ر,ك,ك,,,ل,,,ل,ل,,,
جمز,ج,م,ز,,ل,,,,,,,,,,
جمش,ج,م,ش,,م,,,,,,,,,,
جمع,ج,م,ع,ك,ك,م,ل,ل,,,ل,ك,,,
جمل,ج,م,ل,ك,ك,م,,ك,,,ل,ك,,,
جمم,ج,م,م,ك,ك,,,,,,ل,ك,,,
جمي,ج,م,ي,,,,,,,,ل,,,,
جنأ,ج,ن,أ,ك,,ل,,ل,,ل,,,,,
جنب,ج,ن,ب,ك,ك,م,,ك,,ك,ك,ل,,,
جنث,ج,ن,ث,,,,,,,,ل,,,,
جنح,ج,ن,ح,ك,م,,,ك,,,ل,ك,,,
جند,ج,ن,د,,م,,,,,,ك,,,,
جنز,ج,ن,ز,,م,,,,,,,,,,
جنس,ج,ن,س,,م,م,,,,ل,ل,,,,
جنص,ج,ن,ص,,ك,,,,,,,,,,
جنف,ج,ن,ف,ك,,م,,,,ك,,,,,
جنق,ج,ن,ق,,ك,,,,,,,,,,
جنن,ج,ن,ن,ك,م,,,ك,,ل,ل,ل,,,
جني,ج,ن,ي,ك,,ك,,م,,,ك,,,,
جهد,ج,ه,د,ك,,ك,,ك,,ل,,ل,,,
جهر,ج,ه,ر,ك,,ك,,م,,ل,,,,,
جهز,ج,ه,ز,ل,م,,,,,,ل,,,,
جهش,ج,ه,ش,ك,,,,,,,,,,,
جهض,ج,ه,ض,ك,,م,,,,,,,,,
جهف,ج,ه,ف,,,,,م,,,,,,,
جهل,ج,ه,ل,م,ك,م,,م,,ل,,م,,,
جهم,ج,ه,م,ل,,,,ل,,,ك,,,,
جهي,ج,ه,ي,ك,م,ك,,,,ل,,,,,
جوب,ج,و,ب,ك,ك,م,ل,م,,ل,,ك,,,
جوت,ج,و,ت,,,م,,,,,,,,,
جوح,ج,و,ح,م,م,,,م,,,,,,,
جوخ,ج,و,خ,,م,,,,,,ل,,,,
جود,ج,و,د,ك,ك,م,,,,ك,ك,م,,,
جور,ج,و,ر,ك,م,ك,,ل,,ل,ل,ك,,,
جوز,ج,و,ز,ك,م,ك,,ك,,ك,ك,ك,,,
جوس,ج,و,س,,,م,,ك,,,,,,,
جوش,ج,و,ش,,,,,,,,ل,,,,
جوظ,ج,و,ظ,,ل,,,,,,ل,,,,
جوع,ج,و,ع,م,م,,,,,,ل,ل,,,
جوف,ج,و,ف,م,م,,,م,,,ك,ك,,,
جوق,ج,و,ق,,ك,,,,,,ل,,,,
جول,ج,و,ل,ك,ك,م,ل,ك,,ل,ل,م,,,
جون,ج,و,ن,,,,,,,,ك,,,,
جوه,ج,و,ه,م,م,,,,,,ل,,,,
جوو,ج,و,و,,م,ل,,,,,,,,,
جوي,ج,و,ي,م,م,ك,,ك,,,,م,,,
جيأ,ج,ي,أ,ك,م,م,,,,,,,,,
جيب,ج,ي,ب,,م,,ل,م,,,,,,,
جيت,ج,ي,ت,,,م,,,,,,,,,
جير,ج,ي,ر,,م,,,,,,,,,,
جيش,ج,ي,ش,,ك,,,,,,ل,ك,,,
جيض,ج,ي,ض,,ل,م,,,,,,,,,
جيف,ج,ي,ف,,ك,,ل,ل,,,ل,,,,
جيم,ج,ي,م,,م,,,,,,,,,,
حبب,ح,ب,ب,ك,ك,م,,,,ل,ل,ك,,,
حبج,ح,ب,ج,ك,,,,,,,,,,,
حبر,ح,ب,ر,ك,م,,,,,,ل,,,,
حبس,ح,ب,س,م,م,م,,ك,,,ل,,,,
حبش,ح,ب,ش,ل,ك,,,م,,,ك,,,,
حبض,ح,ب,ض,ك,ل,,,,,,,,,,
حبط,ح,ب,ط,ك,,,,,,,,,ل,,
حبق,ح,ب,ق,ل,م,,,,,,,,,,
حبك,ح,ب,ك,م,م,,,ك,,,ل,,,,
حبل,ح,ب,ل,ك,ك,,,ك,,,ك,,,,
حبن,ح,ب,ن,م,,,,,,,,,,,
حبو,ح,ب,و,ل,م,م,,ل,,,ل,,,,
حتأ,ح,ت,أ,م,,,,,,,,,,,
حتت,ح,ت,ت,ل,,,ل,,,ل,,,,,
حتد,ح,ت,د,,م,,,,,,,,,,
حتر,ح,ت,ر,ك,ك,,,,,,,,,,
حتش,ح,ت,ش,,ل,,,ل,,,,,,,
حتك,ح,ت,ك,,,,,,,,ل,,,,
حتم,ح,ت,م,ل,,,ل,,,,ك,,,,
حتن,ح,ت,ن,ل,,م,,ل,,ل,,,,,
حتي,ح,ت,ي,م,,,,,,,,,,,
حثث,ح,ث,ث,م,ك,م,,ك,,ل,,م,,,
حثر,ح,ث,ر,ل,م,,,,,,ل,,,,
حثل,ح,ث,ل,م,,,,,,,,,,,
حثو,ح,ث,و,م,,,,م,,,,م,,,
حثي,ح,ث,ي,م,,,,م,,,,م,,,
حجأ,ح,ج,أ,,,,,,,,ل,,,,
حجب,ح,ج,ب,,م,,,ل,,,ل,م,,,
حجج,ح,ج,ج,م,م,م,,ك,,ل,,ل,,,
حجر,ح,ج,ر,م,ك,,,ك,,,ك,ل,,,
حجز,ح,ج,ز,ل,,م,ل,ك,,ل,ل,,,,
حجف,ح,ج,ف,,,م,ل,م,,,,,,,
حجل,ح,ج,ل,م,ك,,,,,,,,,,
حجم,ح,ج,م,ك,ل,,,ل,,,,,,,
حجن,ح,ج,ن,ل,م,ل,,ك,,,ل,,,,
حجو,ح,ج,و,,,م,,ك,,ل,ك,ل,,,
حجي,ح,ج,ي,ك,,,,,,,,,,,
حدب,ح,د,ب,ك,م,,,,,ل,ل,,ل,,
حدث,ح,د,ث,ك,م,م,,,,ل,ل,م,,,
حدج,ح,د,ج,ك,ك,,,,,,,,,,
حدد,ح,د,د,ك,ك,م,,ك,,ك,ل,ك,,,
حدر,ح,د,ر,ك,ك,,ل,,,ل,ل,,,,
حدس,ح,د,س,,,,,,,,ك,,,,
حدق,ح,د,ق,ل,ل,,,,,ل,,,ل,,
حدل,ح,د,ل,ل,,م,,,,ل,,,,,
حدم,ح,د,م,ك,,,,ل,,,ل,,,,
حدو,ح,د,و,,,,,م,,ل,,,,,
حدي,ح,د,ي,ك,ل,,,,,,م,,,,
حذر,ح,ذ,ر,,م,م,,ك,,,ل,,,,ل
حذف,ح,ذ,ف,,م,,,م,,,,,,,
حذق,ح,ذ,ق,م,م,,ل,,,,ل,,,,
حذل,ح,ذ,ل,م,,,,,,,ل,,,,
حذو,ح,ذ,و,م,,م,,ك,,ك,,م,,,
حذي,ح,ذ,ي,م,,,,,,م,,,,,
حرب,ح,ر,ب,ك,ك,م,,ل,,ل,,ل,,,
حرث,ح,ر,ث,م,م,,,ك,,,,,,,
حرج,ح,ر,ج,ك,ك,,,,,,ل,,,,
حرد,ح,ر,د,ك,ك,ل,ل,,,,ل,,,,
حرر,ح,ر,ر,ك,م,,,,,,ل,ك,,,
حرز,ح,ر,ز,م,م,م,,ل,,,ل,ل,,,
حرس,ح,ر,س,ل,,,,ك,,,ل,,,,
حرش,ح,ر,ش,م,ك,م,,ك,,,ك,,,,
حرص,ح,ر,ص,,م,,,ل,,,ك,,,,
حرض,ح,ر,ض,ك,ك,ك,,,,ل,,,,,
حرف,ح,ر,ف,ك,م,ك,ل,ل,,ل,ل,,ل,,
حرق,ح,ر,ق,ك,م,م,,ل,,,ل,,,,
حرك,ح,ر,ك,,م,,,ل,,,ل,,,,
حرم,ح,ر,م,ك,ك,,,ك,,,ل,ك,,,
حري,ح,ر,ي,ك,,,,,,,ك,,,,
حزأ,ح,ز,أ,,,,,,,,,,ل,,
حزب,ح,ز,ب,,م,ك,,,,ل,ل,,,,
حزر,ح,ز,ر,ك,م,,,,,,,,,,
حزز,ح,ز,ز,ل,م,م,,ك,,,ل,,,,
حزق,ح,ز,ق,م,ل,,ل,,,,ل,,,,
حزك,ح,ز,ك,,,,,ل,,,,,,,
حزل,ح,ز,ل,,,,,ل,ل,,,,,,ل
حزم,ح,ز,م,م,م,,,ل,,,ل,,ل,,
حزن,ح,ز,ن,ك,ك,,,ل,,ل,ل,,,,
حزو,ح,ز,و,,,,,,,,ل,,ل,,
حزي,ح,ز,ي,ل,م,,,,,,ل,,,,
حسب,ح,س,ب,ك,م,م,,ك,ل,ل,ك,,,,
حسد,ح,س,د,م,م,,,,,ل,,,,,
حسر,ح,س,ر,ك,ك,,ل,,,,ل,ل,,,
حسس,ح,س,س,ك,,,ل,,,,ك,,,,
حسف,ح,س,ف,م,م,,ل,,,,ك,,,,
حسك,ح,س,ك,ك,ك,,,,,,,,,,
حسل,ح,س,ل,,ل,,,ل,,,ل,,,,
حسم,ح,س,م,,,,ل,,,,,,,,
حسن,ح,س,ن,ك,م,ك,,,,,ل,م,,,
حسو,ح,س,و,م,م,م,,م,,ك,ك,,,,
حسي,ح,س,ي,,م,,,ك,,,,,,,
حشب,ح,ش,ب,م,,,,ل,,,,,,,
حشد,ح,ش,د,ل,م,,,ل,,ل,ل,,,,
حشر,ح,ش,ر,,م,,ل,ل,,,ل,,,,
حشش,ح,ش,ش,ك,,,,ك,,,,ك,,,
حشف,ح,ش,ف,ل,م,,,,,,ل,ل,,,
حشك,ح,ش,ك,م,,,,,,,ل,,,,
حشم,ح,ش,م,م,م,م,,ل,,,ك,,,,
حشن,ح,ش,ن,ك,,م,,,,,ل,,,,
حشو,ح,ش,و,م,,م,ل,ك,,,,,,,
حشي,ح,ش,ي,,م,ك,,,,ل,ك,,,,
حصأ,ح,ص,أ,م,,,,,,,,,,,
حصب,ح,ص,ب,ك,ك,,,,,ل,ل,,,,
حصد,ح,ص,د,ك,,,,م,,,ل,ل,,,
حصر,ح,ص,ر,م,,م,ل,م,,,,,,,
حصص,ح,ص,ص,م,ك,ك,ل,,,ك,ل,,,,
حصف,ح,ص,ف,ك,,,,,,,,ل,,,
حصل,ح,ص,ل,ل,ك,,,,,,ل,,,,
حصم,ح,ص,م,,,,ل,,,,,,,,
حصن,ح,ص,ن,ك,م,,,,,,ل,,,,
حصي,ح,ص,ي,م,م,,,,,,ل,ل,,,
حضأ,ح,ض,أ,م,,,,م,,,,,,,
حضب,ح,ض,ب,ك,,,,,,,ل,,,,
حضج,ح,ض,ج,,ك,,ل,,,,,,,,
حضر,ح,ض,ر,ك,م,ك,,ك,,,ك,م,,,
حضض,ح,ض,ض,,م,م,,م,,ل,,,,,
حضل,ح,ض,ل,ل,,,,,,,,,,,
حضن,ح,ض,ن,ك,,,,م,,,,,,,
حطب,ح,ط,ب,ل,,,,ك,,,,ل,,,
حطط,ح,ط,ط,ل,ل,,ل,ك,,,,م,,,
حطم,ح,ط,م,ل,م,,ل,,,,ل,,,,
حطو,ح,ط,و,,,,,,,,,,ل,,
حظر,ح,ظ,ر,ك,ل,,,ك,,,,,,,
حظظ,ح,ظ,ظ,ل,,,,,,,,,,,
حظل,ح,ظ,ل,ل,,,,,,,,,,,
حظو,ح,ظ,و,م,,,,ل,,,,,,,
حفأ,ح,ف,أ,,,,,م,,,,,,,
حفد,ح,ف,د,ك,,,,ل,,,,,,,
حفر,ح,ف,ر,ك,,ل,,ك,,,ل,ل,,,
حفز,ح,ف,ز,م,,م,,ل,,,ل,,,,
حفش,ح,ف,ش,م,ل,,,,,,ل,,,,
حفض,ح,ف,ض,,ك,,,,,,,,,,
حفظ,ح,ف,ظ,م,م,ل,,ك,,,ك,م,,,ل
حفف,ح,ف,ف,ك,ك,,,ك,,,,م,,,
حفل,ح,ف,ل,,م,م,,ل,,,ل,,,,
حفن,ح,ف,ن,,,,,ك,,,,,,,
حفو,ح,ف,و,ك,,م,,ك,,ل,ل,ك,,,
حقب,ح,ق,ب,ك,,,,ك,,,,م,,,
حقد,ح,ق,د,ك,,,,ل,,ل,ل,,,,
حقر,ح,ق,ر,م,م,,,م,,ل,,م,,,
حقف,ح,ق,ف,,,,,,,,,,ل,,
حقق,ح,ق,ق,ك,ك,م,ل,ك,,ل,ك,ك,,,
حقل,ح,ق,ل,ك,,م,,ل,,,,,,,
حقن,ح,ق,ن,ك,,,,ك,,,ل,,,,
حقو,ح,ق,و,,,,,ل,,,ل,,,,
حكأ,ح,ك,أ,ك,,,,ك,,,,,,,
حكد,ح,ك,د,ل,,ل,,,,,,,,,
حكر,ح,ك,ر,,م,م,,م,,,ك,,,,
حكك,ح,ك,ك,ك,ك,م,,ل,,ل,ل,ك,,,
حكل,ح,ك,ل,ل,,,,ل,,,ل,,,,
حكم,ح,ك,م,م,م,م,,ل,,ل,ل,ل,,,
حكي,ح,ك,ي,ك,,م,,ل,,,,,,,
حلأ,ح,ل,أ,م,م,,,,,,,,,,
حلب,ح,ل,ب,ك,,م,ل,ك,,,ك,ك,,,
حلج,ح,ل,ج,ل,,ل,,م,,م,ل,,,,
حلز,ح,ل,ز,,,,,م,,ل,ل,,,,
حلس,ح,ل,س,ك,,م,,,ل,,ك,ك,,,
حلط,ح,ل,ط,ك,,,,ل,,,,,,,
حلف,ح,ل,ف,ك,م,ك,,ل,,ل,,م,,,
حلق,ح,ل,ق,م,ك,,,ك,,,ل,ل,,,
حلك,ح,ل,ك,,,,,,,,,ل,ل,,
حلل,ح,ل,ل,ك,م,م,ل,ك,,,ك,م,,,
حلم,ح,ل,م,ل,ك,,ل,ل,,ل,ك,,,,
حلو,ح,ل,و,ك,م,م,,ل,,ل,ك,م,ك,,
حلي,ح,ل,ي,,م,,,,,,ل,,,,
حمأ,ح,م,أ,ك,,,,,,,,,,,
حمت,ح,م,ت,,,,,,,,ل,,,,
حمج,ح,م,ج,,ك,,,,,,,,,,
حمد,ح,م,د,ك,ك,,,ل,,ك,ك,ل,,,
حمر,ح,م,ر,ك,ك,,,,ل,,,,,,ل
حمس,ح,م,س,م,م,,,ل,,ل,ل,,ل,,
حمش,ح,م,ش,ك,م,,,ل,,,ل,ل,,,
حمص,ح,م,ص,,ك,,ل,ل,,,ل,,,,
حمض,ح,م,ض,ك,ك,,,,,,ل,ل,,,
حمط,ح,م,ط,,ك,,,,,,,,,,
حمق,ح,م,ق,ك,ك,م,ل,,,ل,ل,ك,,,
حمل,ح,م,ل,ك,ك,م,ل,ك,,ك,ك,ك,,,
حمم,ح,م,م,ك,ك,م,,ل,,,ل,ل,,,
حمي,ح,م,ي,م,م,ل,,ل,,م,ل,,ل,,
حنأ,ح,ن,أ,,م,,,,,,ل,,,,
حنب,ح,ن,ب,,ك,,,,,,ل,,,,
حنث,ح,ن,ث,م,م,,,,,,ل,,,,
حنج,ح,ن,ج,ك,,,,ل,,,,,,,
حنذ,ح,ن,ذ,ك,,,,,,,,ل,,,
حنر,ح,ن,ر,,م,,,,,,,,,,
حنش,ح,ن,ش,م,م,,,,,,,,,,
حنط,ح,ن,ط,ك,م,,,,,,ل,ل,,,
حنظ,ح,ن,ظ,م,,,,,,,,,,,
حنف,ح,ن,ف,,م,,,,,,ل,,,,
حنق,ح,ن,ق,ك,ل,,,,,,,,,,
حنك,ح,ن,ك,م,م,,,ك,,,ل,ل,,,
حنن,ح,ن,ن,ك,ل,,,,,ل,ل,ك,,,
حنو,ح,ن,و,ك,ك,,ل,,,,ل,,,,
حني,ح,ن,ي,,م,,,,,,,,,,
حوب,ح,و,ب,ل,ل,,,,,,ل,ل,,,
حوت,ح,و,ت,,,م,,,,,,,,,
حوث,ح,و,ث,م,,,,,,,,م,,,
حوج,ح,و,ج,ك,ل,,,ل,,,ل,,,,
حود,ح,و,د,,م,ك,,,,,,,,,
حوذ,ح,و,ذ,ك,م,,,,,,,ل,,,
حور,ح,و,ر,ك,م,م,,,ل,ل,,م,,,
حوز,ح,و,ز,,م,م,ل,م,,ل,ل,م,,,
حوس,ح,و,س,,,م,,,,,ل,ل,,,
حوش,ح,و,ش,م,ك,ك,ل,ك,,ك,ل,م,,,
حوص,ح,و,ص,,,ك,,ل,,,,,,,
حوض,ح,و,ض,,ك,,,ك,,,,ل,,,
حوط,ح,و,ط,ك,ك,م,,ل,,,م,ل,,,
حوف,ح,و,ف,,م,,,,,,ك,,,,
حوق,ح,و,ق,ل,ك,,,م,,,,,,,
حوك,ح,و,ك,ك,,,,,,,ل,,,,
حول,ح,و,ل,ك,ك,م,,ك,ل,,ك,ك,,,ل
حوم,ح,و,م,,ل,,,,,,,,,,
حون,ح,و,ن,,,,,,,,ل,,,,
حوو,ح,و,و,,,,,,,,,,,ل,
حوي,ح,و,ي,,ك,,,ك,,,ك,,,,
حيج,ح,ي,ج,ل,,,,,,,,,,,
حيد,ح,ي,د,,م,م,,,,,,,,,
حير,ح,ي,ر,,م,,,,,,ل,ك,,,
حيز,ح,ي,ز,,,,,,,,ل,,,,
حيس,ح,ي,س,,ك,,,,,,,,,,
حيش,ح,ي,ش,,,,,,,,ل,,,,
حيص,ح,ي,ص,,,م,ل,,,ل,,,,,
حيض,ح,ي,ض,,ك,,,,,,ل,ل,,,
حيف,ح,ي,ف,,,,,,,,م,,,,
حيق,ح,ي,ق,ك,,م,,ك,,,,,,,
حيك,ح,ي,ك,ك,,,,ل,,ل,ل,,,,
حين,ح,ي,ن,ك,ك,م,,,,,ك,ل,,,
حيي,ح,ي,ي,ك,م,م,,,,ل,ل,ك,,,
خبأ,خ,ب,أ,م,م,م,,ك,,,م,,,,
خبب,خ,ب,ب,م,م,,,ك,,,,,,,
خبت,خ,ب,ت,ك,,,,,,,,,,,
خبث,خ,ب,ث,ك,,,,,,ل,ل,ك,,,
خبد,خ,ب,د,,,,,,ل,,,,,,
خبر,خ,ب,ر,م,م,م,,ك,,,ك,م,,,
خبز,خ,ب,ز,,,,ل,م,,,م,,,,
خبس,خ,ب,س,,,,,م,,,ك,,,,
خبش,خ,ب,ش,,,,,,,,م,,,,
خبص,خ,ب,ص,,ك,,ل,ل,,,ل,ل,,,
خبط,خ,ب,ط,ل,,,,ك,,,ك,م,,,
خبق,خ,ب,ق,,,,,,,,ل,,,,
خبل,خ,ب,ل,م,م,,,ك,,,ل,م,,,
خبن,خ,ب,ن,ل,,,,م,,,,,,,
خبو,خ,ب,و,م,,,,,,,,,,,
خبي,خ,ب,ي,ك,م,,,,,,ك,م,,,
ختأ,خ,ت,أ,,,,,ك,,,,,,,
ختت,خ,ت,ت,ك,,,,,,,,,,,
ختر,خ,ت,ر,,م,,,,,,ل,,,,
ختع,خ,ت,ع,,,,ل,,,,,,,,
ختل,خ,ت,ل,,,م,,ل,,ل,,,,,
ختم,خ,ت,م,ل,م,,,م,,,ل,,,,
ختن,خ,ت,ن,,,م,,ك,,ل,,,,,
ختو,خ,ت,و,ك,,,,ل,,,,,,,
خثث,خ,ث,ث,,ك,,,ل,,,,,,,
خثر,خ,ث,ر,ك,ك,,,,,,ل,,,,
خثم,خ,ث,م,,م,,,,,,,,,,
